filename,predicted_percentage
wifi_data_1738154816.csv,83.13153557952909
wifi_data_1738154802.csv,83.13153557952909
wifi_data_1738154745.csv,100.0
wifi_data_1738154590.csv,100.0
wifi_data_1738154546.csv,100.0
wifi_data_1738154829.csv,83.13153557952909
ble_data_1738154605.csv,76.58333333333334
ble_data_1738154758.csv,99.16666666666666
ble_data_1738154777.csv,58.81190476190476
ble_data_1738154575.csv,99.30555555555556
ble_data_1738154560.csv,48.755772005772
wifi_data_1738154685.csv,100.0
ble_data_1738154670.csv,100.0
wifi_data_1738154644.csv,99.88577133249265
ble_data_1738154703.csv,51.35476190476191
ble_data_1738154845.csv,96.61111111111111
wifi_data_1738154657.csv,100.0
wifi_data_1738154722.csv,100.0
ble_data_1738154644.csv,22.472222222222218
wifi_data_1738154670.csv,100.0
ble_data_1738154685.csv,
ble_data_1738154722.csv,77.19166666666666
ble_data_1738154657.csv,85.72895622895624
wifi_data_1738154845.csv,83.13153557952909
wifi_data_1738154703.csv,100.0
wifi_data_1738154758.csv,100.0
ble_data_1738154829.csv,74.27896825396827
wifi_data_1738154605.csv,100.0
ble_data_1738154546.csv,98.70833333333333
ble_data_1738154816.csv,95.63333333333333
ble_data_1738154802.csv,82.5474345099345
ble_data_1738154590.csv,70.63948412698414
ble_data_1738154745.csv,59.0
wifi_data_1738154560.csv,100.0
wifi_data_1738154575.csv,100.0
wifi_data_1738154777.csv,83.13153557952909
