directory,file,room_0_prob,room_514_prob
0,ble_data_1737085804.csv,0.6428619126714046,0.35713808732859537
0,ble_data_1737085839.csv,0.45848811189393285,0.5415118881060671
0,ble_data_1737085874.csv,0.40717722115393673,0.592822778846063
0,wifi_data_1737085874.csv,0.8150000000000003,0.1849999999999999
0,wifi_data_1737085839.csv,0.7199999999999999,0.2800000000000001
0,wifi_data_1737085804.csv,0.7217887931034482,0.27821120689655193
514,wifi_data_1737084866.csv,0.11258620689655179,0.8874137931034481
514,wifi_data_1737084906.csv,0.12000000000000008,0.8799999999999998
514,wifi_data_1737084960.csv,0.07169642857142854,0.9283035714285713
514,ble_data_1737084960.csv,0.32372355043945955,0.6762764495605403
514,ble_data_1737084866.csv,0.23641386530518366,0.7635861346948162
514,ble_data_1737084906.csv,0.36245131502484446,0.6375486849751555
513,ble_data_1738627149.csv,0.3420948132491864,0.6579051867508137
513,ble_data_1738627165.csv,0.323248452935953,0.6767515470640469
513,wifi_data_1738627178.csv,0.155,0.845
513,wifi_data_1738627149.csv,0.22611111111111112,0.7738888888888888
513,ble_data_1738627178.csv,0.23937815656565659,0.7606218434343435
513,wifi_data_1738627165.csv,0.155,0.845
