sample_file,predicted_room,prediction_probability,status
graduate_1.csv,GraduateStudentsRoom,0.99,正解
undergraduate_1.csv,UndergraduateStudentsRoom,0.536,不明
undergraduate_2.csv,GraduateStudentsRoom,0.73,不明
undergraduate_3.csv,GraduateStudentsRoom,0.84,正解
