directory,file,room_102_prob,room_103_prob,room_190_prob,room_513_prob,room_514_prob,room_590_prob
0,ble_data_1737085804.csv,0.08096131772268138,0.038753730486685,0.12757419979010895,0.11099277679391316,0.13352042338974157,0.50819755181687
0,ble_data_1737085839.csv,0.0096993875535444,0.025064054616037123,0.018230975735793836,0.20633710049556817,0.09131755248645936,0.6493509291125971
0,ble_data_1737085874.csv,0.0798454142980156,0.0524812094770675,0.02281693637698542,0.18740139858187094,0.14278837459939397,0.5146666666666666
0,wifi_data_1737085874.csv,0.0,0.0,0.0,0.040000000000000015,0.1900000000000001,0.7699999999999997
0,wifi_data_1737085839.csv,0.0,0.0,0.0,0.06499999999999996,0.27500000000000013,0.66
0,wifi_data_1737085804.csv,0.0,0.0,0.0,0.06213793103448272,0.27745402298850586,0.6604080459770116
514,wifi_data_1737084866.csv,0.0,0.0,0.0,0.12379310344827579,0.7941379310344828,0.08206896551724135
514,wifi_data_1737084906.csv,0.0,0.0,0.0,0.12999999999999992,0.785,0.08499999999999998
514,wifi_data_1737084960.csv,0.0,0.0,0.0,0.04489285714285714,0.8449523809523811,0.11015476190476196
514,ble_data_1737084960.csv,0.14296314796314794,0.06773605308832581,0.03606136414090959,0.1769707981412527,0.1256439658826023,0.45062467078376167
514,ble_data_1737084866.csv,0.2905221688284768,0.09086629989139015,0.008454099432750098,0.14616445295760305,0.11331604076798867,0.350676938121791
514,ble_data_1737084906.csv,0.11948205747121114,0.09413908247997493,0.07329816403415447,0.16182993558747222,0.16187758948048686,0.3893731709467004
513,ble_data_1738627149.csv,0.06271324721460168,0.07435564350080603,0.1748007123122835,0.1266460153236856,0.23906589302939923,0.3224184886192239
513,ble_data_1738627165.csv,0.12287225009891105,0.15206464469093078,0.03207981601731603,0.12575269451582613,0.2587583724547937,0.3084722222222222
513,wifi_data_1738627178.csv,0.0,0.0,0.0,0.5600000000000002,0.3449999999999999,0.09499999999999999
513,wifi_data_1738627149.csv,0.0,0.0,0.0,0.5655555555555556,0.3327777777777777,0.10166666666666664
513,ble_data_1738627178.csv,0.0025,0.0,0.0,0.10058333333333333,0.441125,0.4557916666666666
513,wifi_data_1738627165.csv,0.0,0.0,0.0,0.5600000000000002,0.3449999999999999,0.09499999999999999
